Poll,Date,Sample,MoE,Barack Obama,John McCain
CNN,10/3 - 10/5,694 LV,3.5,53,45
Ipsos/McClatchy,10/2 - 10/6,858 RV,3.3,47,40
Democracy Corps (D),10/1 - 10/5,1000 LV,--,49,46
Marist,9/28 - 9/30,943 LV,--,49,44
CBS News,9/27 - 9/30,769 LV,--,50,41
Associated Press/GfK,9/27 - 9/30,808 LV,3.4,48,41
ABC News/Wash Post,9/27 - 9/29,916 LV,3,50,46
Pew Research,9/27 - 9/29,1181 LV,4,49,43
Ipsos/McClatchy,9/26 - 9/29,1007 RV,3.1,48,45
Time,9/26 - 9/29,1133 LV,--,50,43
Gallup Tracking,9/24 - 9/26,2759 RV,2,49,44
Rasmussen Tracking,9/24 - 9/26,3000 LV,2,50,44
Hotline/FD Tracking,9/24 - 9/26,914 RV,3.3,48,43
GWU/Battleground,9/21 - 9/25,1000 LV,3.3,46,48
CBS News/NY Times,9/21 - 9/24,LV,4,48,43
FOX News,9/22 - 9/23,900 RV,3,45,39
Marist,9/22 - 9/23,689 LV,4,49,44
NBC News/Wall St. Jrnl,9/19 - 9/22,1085 RV,3,48,46
ABC News/Wash Post,9/19 - 9/22,780 LV,3.5,52,43
LA Times/Bloomberg,9/19 - 9/22,838 LV,--,49,45
Ipsos/McClatchy,9/18 - 9/22,923 RV,3.2,44,43
CNN/Opinion Research,9/19 - 9/21,697 LV,3,51,47
F&M/Hearst-Argyle,9/15 - 9/21,1138 LV,3,45,47
Gallup Tracking,9/15 - 9/17,2815 RV,2,48,44
Rasmussen Tracking,9/15 - 9/17,3000 LV,2,48,48
Hotline/FD Tracking,9/15 - 9/17,912 RV,3.2,46,42
GWU/Battleground,9/11 - 9/18,800 LV,3,47,47
CBS News/NY Times,9/12 - 9/16,LV,3,49,44
Quinnipiac,9/11 - 9/16,987 LV,3.1,49,45
Pew Research,9/9 - 9/14,2307 LV,--,46,46
Reuters/Zogby,9/11 - 9/13,1008 LV,3.1,47,45
Newsweek,9/10 - 9/11,1038 RV,3.8,46,46
GWU/Battleground,9/7 - 9/11,1000 LV,3.1,44,48
Associated Press/GfK,9/5 - 9/10,812 LV,--,44,48
FOX News,9/8 - 9/9,900 RV,3,42,45
Gallup Tracking,9/7 - 9/9,2714 RV,2,43,48
Rasmussen Tracking,9/7 - 9/9,3000 LV,2,48,47
Hotline/FD Tracking,9/7 - 9/9,902 RV,3.2,45,45
NBC News/Wall St. Jrnl,9/6 - 9/8,860 RV,3.3,46,45
ABC News/Wash Post,9/5 - 9/7,LV,3,47,49
USA Today/Gallup,9/5 - 9/7,823 LV,4,44,54
CBS News*,9/5 - 9/7,655 RV,4,44,46
CNN/OpinionResearch,9/5 - 9/7,942 RV,3,48,48
IBD/TIPP,9/2 - 9/7,868 RV,3.3,45,40
CBS News,9/1 - 9/3,734 RV,3,42,42
Gallup Tracking,8/30 - 9/1,2772 RV,2,50,42
Rasmussen Tracking,8/30 - 9/1,3000 LV,2,51,45
